epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,752.914,1.88896,1.64164,1.393,0,0,0,0,0,0,0,0.000666223,0.000666223,0.000666223
2,1211.88,1.81996,1.33427,1.36484,0,0,0,0,0,0,0,0.00106898,0.00106898,0.00106898
3,1964.6,1.77544,1.23481,1.33504,0,0,0,0,0,0,0,0.00120773,0.00120773,0.00120773
4,2345.39,1.72481,1.15897,1.3018,0,0,0,0,0,0,0,0.000812,0.000812,0.000812
