epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,486.197,1.53121,1.17539,1.19927,0,0,0,0,0,0,0,0.000666223,0.000666223,0.000666223
2,945.95,1.47314,0.88146,1.18542,0,0,0,0,0,0,0,0.00106898,0.00106898,0.00106898
3,1349.1,1.44066,0.80787,1.16935,0,0,0,0,0,0,0,0.00120773,0.00120773,0.00120773
4,1726.23,1.39057,0.74973,1.14408,0,0,0,0,0,0,0,0.000812,0.000812,0.000812
